house,entropy,Information gain
151305,0.01718465196092704,1.5612430048772552e-7
151805,0.02436999105025835,5.5450060396644574e-5
152305,0.034443461515749264,3.936767378676098e-5
152805,0.046983641949233435,1.6123874397311333e-5
153305,0.05148746859284378,8.954065887190055e-6
153805,0.06165946253015625,2.3639777524953054e-5
154305,0.06448924781053549,7.566723571983403e-5
154805,0.07280061053393987,2.0887515156942094e-5
155305,0.07954272181058006,3.793953584907417e-5
155805,0.0874376844864837,3.517250325657528e-5
156305,0.09640771675744966,1.7455752270079117e-5
156805,0.10267159309064697,3.119898879455629e-5
157305,0.11125901218143108,1.4635238538840412e-6
157805,0.11846422784277634,1.574436622397979e-5
158305,0.1231936518442098,1.5486565531519503e-5
158805,0.12670383685219483,6.829671506003443e-6
159305,0.13363394177677795,6.8480044284058295e-6
159805,0.14381745291318065,3.886570012268109e-5
160305,0.15157483995083698,2.465568537390883e-5
160805,0.15376647296393584,2.44857819979849e-5
161305,0.15703401622617105,2.27309959510702e-6
161805,0.16563492226334972,6.677942388888525e-5
162305,0.17303286680391802,4.8543433874614905e-5
162805,0.17928404524043626,2.2946799631884396e-5
163305,0.18340728824761754,7.3061024170595346e-6
163805,0.18749632159333618,7.362437055680182e-6
164305,0.19657630165783269,5.911124335278295e-5
164805,0.19956721182381967,7.449691874839015e-5
165305,0.20745919301791405,7.246249485981515e-5
165805,0.21233176686773014,5.625596481695361e-5
166305,0.21426826754827258,5.59424246138196e-5
166805,0.22003586150828525,8.583892206148747e-5
167305,0.224795309573188,6.86132131952899e-5
167805,0.2285730027450366,1.40235101028785e-4
168305,0.2332586924895365,1.595797767681706e-4
168805,0.24067400352725526,2.0193734666340557e-4
169305,0.2507120011111186,1.3008670414127455e-4
169805,0.25521647541170933,1.480204033116328e-4
170305,0.25790218406423804,2.1372734161706486e-4
170805,0.2650032760468498,2.086602806650184e-4
171305,0.2676438410278534,2.3098214620886903e-4
171805,0.2711460322864566,2.7983199276993e-4
172305,0.2780880673970991,2.2327299712876503e-4
172805,0.28324133877298074,2.1971724014990812e-4
173305,0.29004336584331525,3.158117312994646e-4
173805,0.2959321422523182,3.960795783114479e-4
174305,0.3017636861278352,4.190794042808754e-4
174805,0.3067176726908423,4.1251582636814277e-4
175305,0.3116314970724093,4.062465128747972e-4
175805,0.3148854694574442,4.633961569771028e-4
176305,0.3213418680408531,3.9451795033873527e-4
176805,0.3245447385098161,3.9083057478661587e-4
177305,0.3277310092024362,3.3289273882852743e-4
177805,0.33090088750496527,3.299863203986009e-4
178305,0.3348404906692946,3.525028672499708e-4
178805,0.3395351592311984,3.4803930848625875e-4
